Aruba,AMRO,29/12/2023,217124,90493.0,203,85,84363.0,79,17/02/2021,35659.0,33
Afghanistan,EMRO,31/12/2023,2.30E+07,1.92E7,59,49,1.84E7,47,22/02/2021,2729940.0,7
Angola,AFRO,31/12/2023,2.78E+07,1.66E7,85,50,9609080.0,29,10/03/2021,3067091.0,9
Anguilla,AMRO,29/12/2023,24864,10858.0,166,72,10382.0,69,05/02/2021,3231.0,22
Albania,EURO,23/12/2023,3088966,1349255.0,107,47,1279333.0,44,13/01/2021,402371.0,14
Andorra,EURO,23/12/2023,157072,57913.0,203,75,53501.0,69,20/01/2021,43071.0,56
Argentina,AMRO,29/12/2023,1.17E+08,4.12E7,258,91,3.81E7,84,29/12/2020,2.77E7,61
Armenia,EURO,23/12/2023,2256919,1150915.0,76,39,1030758.0,35,27/01/2021,81354.0,3
Antigua and Barbuda,AMRO,29/12/2023,136512,64290.0,139,66,62384.0,64,01/03/2021,9838.0,10
Australia,WPRO,31/12/2023,6.97E+07,2.24E7,273,88,2.18E7,85,21/02/2021,1.44E7,56
Austria,EURO,23/12/2023,2.04E+07,6909588.0,229,78,6682372.0,75,30/12/2020,5405966.0,61
Azerbaijan,EURO,23/12/2023,1.38E+07,5436662.0,136,54,4888112.0,48,20/01/2021,3504588.0,35
Belgium,EURO,23/12/2023,2.91E+07,9248897.0,253,80,9152736.0,79,30/12/2020,7246551.0,63
Bulgaria,EURO,23/12/2023,4723016,2155863.0,68,31,2080472.0,30,30/12/2020,864723.0,12
Bahamas,AMRO,29/12/2023,366359,174810.0,93,44,166972.0,42,14/03/2021,33717.0,9
Belarus,EURO,23/12/2023,2.28E+07,6451746.0,241,68,6366658.0,67,03/02/2021,5724423.0,61
Belize,AMRO,29/12/2023,511106,236221.0,129,59,221478.0,56,01/03/2021,53189.0,13
Bermuda,AMRO,29/12/2023,136759,48554.0,220,78,47657.0,77,11/01/2021,32016.0,51
Bolivia (Plurinational State of),AMRO,29/12/2023,1.61E+07,7505389.0,138,64,6307628.0,54,30/01/2021,2521192.0,22
Brazil,AMRO,29/12/2023,5.16E+08,1.85E8,243,87,1.73E8,81,17/01/2021,1.11E8,52
Barbados,AMRO,29/12/2023,384049,163853.0,134,57,155047.0,54,08/01/2021,62848.0,22
Botswana,AFRO,31/12/2023,3171667,1951054.0,135,83,1663490.0,71,26/03/2021,510809.0,22
Central African Republic,AFRO,31/12/2023,3342248,2600389.0,69,54,2484985.0,51,19/03/2021,366221.0,8
Canada,AMRO,29/12/2023,9.90E+07,3.26E7,262,87,3.13E7,83,14/12/2020,1.99E7,53
Switzerland,EURO,23/12/2023,1.68E+07,6096600.0,194,70,5723066.0,66,23/12/2020,4996650.0,58
Chile,AMRO,29/12/2023,6.69E+07,1.75E7,350,92,1.77E7,93,21/12/2020,1.58E7,83
C�te d'Ivoire,AFRO,31/12/2023,2.53E+07,1.36E7,96,51,1.22E7,46,01/03/2021,3138712.0,12
Cameroon,AFRO,31/12/2023,4880572,3753733.0,18,14,3197286.0,12,12/04/2021,803560.0,3
Colombia,AMRO,29/12/2023,9.09E+07,4.3E7,179,85,3.72E7,73,17/02/2021,1.49E7,29
Costa Rica,AMRO,29/12/2023,1.36E+07,4650636.0,267,91,4369784.0,86,24/12/2020,2986527.0,59
Cayman Islands,AMRO,29/12/2023,152148,62113.0,232,95,60696.0,92,15/01/2021,24064.0,37
Cyprus,EURO,23/12/2023,1891597,669294.0,213,75,656138.0,74,23/12/2020,520026.0,59
Czechia,EURO,23/12/2023,1.86E+07,6972222.0,174,65,6887973.0,64,23/12/2020,4365928.0,41
Germany,EURO,23/12/2023,1.93E+08,6.49E7,232,78,6.36E7,76,23/12/2020,5.21E7,63
Dominica,AMRO,29/12/2023,67647,32995.0,94,46,30659.0,43,12/02/2021,3993.0,6
Denmark,EURO,23/12/2023,1.49E+07,4737987.0,256,81,4781285.0,82,16/12/2020,3674678.0,63
Dominican Republic,AMRO,29/12/2023,1.64E+07,7360900.0,151,68,6130483.0,57,16/02/2021,2575142.0,24
Algeria,AFRO,31/12/2023,1.53E+07,7840131.0,35,18,6481186.0,15,30/01/2021,575651.0,1
Ecuador,AMRO,29/12/2023,3.96E+07,1.53E7,224,87,1.42E7,81,20/01/2021,7732930.0,44
Egypt,EMRO,31/12/2023,1.02E+08,5.69E7,100,56,4.23E7,41,24/01/2021,1.52E7,15
Spain,EURO,23/12/2023,1.19E+08,4.13E7,252,87,3.75E7,79,30/12/2020,3.29E7,70
Estonia,EURO,23/12/2023,2205229,845148.0,166,64,842177.0,63,23/12/2020,487389.0,37
Ethiopia,AFRO,31/12/2023,6.89E+07,5.25E7,60,46,4.37E7,38,13/03/2021,5978070.0,5
Finland,EURO,23/12/2023,1.42E+07,4547671.0,257,82,4365135.0,79,23/12/2020,4016189.0,73
France,EURO,23/12/2023,1.58E+08,5.47E7,243,84,5.32E7,82,23/12/2020,4.1E7,63
Georgia,EURO,23/12/2023,2739270,1300867.0,69,33,1187212.0,30,17/03/2021,251191.0,6
Ghana,AFRO,31/12/2023,2.56E+07,1.39E7,82,45,1.08E7,35,02/03/2021,4806017.0,15
Guinea,AFRO,31/12/2023,1.20E+07,8715641.0,92,66,5853990.0,45,05/03/2021,425378.0,3
Gambia,AFRO,31/12/2023,1444492,674314.0,60,28,539186.0,22,10/03/2021,53741.0,2
Guinea-Bissau,AFRO,31/12/2023,920752,747057.0,47,38,547637.0,28,02/04/2021,76359.0,4
Greece,EURO,23/12/2023,2.22E+07,7917288.0,207,74,7745574.0,72,23/12/2020,6071723.0,57
Grenada,AMRO,29/12/2023,90686,44241.0,81,39,39034.0,35,15/02/2021,7411.0,7
Guatemala,AMRO,29/12/2023,2.04E+07,8937923.0,114,50,7130895.0,40,25/02/2021,3723845.0,21
Guyana,AMRO,29/12/2023,967861,497550.0,123,63,384507.0,49,11/02/2021,80224.0,10
Honduras,AMRO,29/12/2023,1.71E+07,6596213.0,172,67,5853689.0,59,22/02/2021,4803544.0,48
Croatia,EURO,23/12/2023,5435966,2321669.0,134,57,2246622.0,55,23/12/2020,996098.0,25
Hungary,EURO,23/12/2023,1.66E+07,6358657.0,170,65,6152022.0,63,23/12/2020,3876420.0,40
Ireland,EURO,23/12/2023,1.31E+07,4245977.0,264,86,4063819.0,82,30/12/2020,3787948.0,76
Iceland,EURO,23/12/2023,903424,307412.0,248,84,297934.0,82,30/12/2020,287652.0,79
Israel,EURO,23/12/2023,1.89E+07,7055466.0,218,82,6385731.0,74,16/12/2020,4474108.0,52
Italy,EURO,23/12/2023,1.50E+08,5.06E7,252,85,4.95E7,83,23/12/2020,4.49E7,75
Jamaica,AMRO,29/12/2023,1529113,722248.0,52,24,760800.0,26,10/03/2021,46065.0,2
Japan,WPRO,31/12/2023,4.33E+08,1.05E8,343,83,1.03E8,82,17/02/2021,8.67E7,69
Kazakhstan,EURO,23/12/2023,3.84E+07,1.24E7,204,66,1.31E7,70,07/04/2021,6801526.0,36
Kenya,AFRO,31/12/2023,2.38E+07,1.45E7,44,27,1.11E7,21,05/03/2021,2000636.0,4
Kyrgyzstan,EURO,23/12/2023,3167393,1528725.0,49,23,1337850.0,21,31/03/2021,300818.0,5
Cambodia,WPRO,31/12/2023,4.78E+07,1.53E7,286,92,1.47E7,88,10/02/2021,1.08E7,64
Saint Kitts and Nevis,AMRO,29/12/2023,64297,33794.0,121,64,27000.0,51,22/02/2021,3465.0,7
Kuwait,EMRO,03/12/2023,8261221,3457498.0,193,81,3346176.0,78,28/12/2020,1457547.0,34
Libya,EMRO,31/12/2023,3653384,2316327.0,53,34,1236102.0,18,11/04/2021,186729.0,3
Saint Lucia,AMRO,29/12/2023,122977,60140.0,67,33,54971.0,30,17/02/2021,7866.0,4
